key,Feature,Description,Gene Name,logFC,adj.P.Val
WT vs MT1,ENSG00000167637,zinc finger protein 283,ZNF283,-0.25,0.044
WT vs MT1,ENSG00000138002,intraflagellar transport 172 homolog (Chlamydomonas),IFT172,0.32,0.055
WT vs MT1,ENSG00000134278,spire homolog 1 (Drosophila),SPIRE1,0.29,0.05
WT vs MT1,ENSG00000204380,"",AC005042.4,0.21,0.048
WT vs MT1,ENSG00000180758,G protein-coupled receptor 157,GPR157,0.33,0.048
WT vs MT1,ENSG00000136840,"ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 4",ST6GALNAC4,-0.19,0.048
WT vs MT1,ENSG00000142798,heparan sulfate proteoglycan 2,HSPG2,0.18,0.048
WT vs MT1,ENSG00000151117,transmembrane protein 86A,TMEM86A,-0.16,0.046
WT vs MT1,ENSG00000168675,low density lipoprotein receptor class A domain containing 4,LDLRAD4,0.6,0.061
WT vs MT1,ENSG00000182899,ribosomal protein L35a,RPL35A,-0.27,0.052
WT vs MT1,ENSG00000132842,"adaptor-related protein complex 3, beta 1 subunit",AP3B1,0.98,0.062
WT vs MT1,ENSG00000124486,"ubiquitin specific peptidase 9, X-linked",USP9X,-0.7,0.062
WT vs MT1,ENSG00000102760,regulator of cell cycle,RGCC,0.66,0.062
WT vs MT1,ENSG00000231770,TMEM44 antisense RNA 1,TMEM44-AS1,0.28,0.05
WT vs MT1,ENSG00000065882,"TBC1 (tre-2/USP6, BUB2, cdc16) domain family, member 1",TBC1D1,1.4,0.052
WT vs MT1,ENSG00000099260,palmdelphin,PALMD,-0.5,0.057
WT vs MT1,ENSG00000006638,thromboxane A2 receptor,TBXA2R,-0.48,0.062
WT vs MT1,ENSG00000136982,DNA replication and sister chromatid cohesion 1,DSCC1,-0.34,0.058
WT vs MT1,ENSG00000178338,zinc finger protein 354B,ZNF354B,-0.42,0.062
WT vs MT1,ENSG00000106080,"FK506 binding protein 14, 22 kDa",FKBP14,0.48,0.063
WT vs MT1,ENSG00000259848,"",AC097374.2,-0.3,0.05
WT vs MT1,ENSG00000149761,nudix (nucleoside diphosphate linked moiety X)-type motif 22,NUDT22,0.22,0.051
WT vs MT1,ENSG00000221883,ariadne homolog 2 opposite strand,ARIH2OS,0.51,0.062
WT vs MT1,ENSG00000128989,"cAMP-regulated phosphoprotein, 19kDa",ARPP19,0.38,0.059
WT vs MT1,ENSG00000088899,Leucine zipper putative tumor suppressor 3,LZTS3,1.1,0.063
WT vs MT1,ENSG00000131043,AAR2 splicing factor homolog (S. cerevisiae),AAR2,0.39,0.061
WT vs MT1,ENSG00000123091,ring finger protein 11,RNF11,0.27,0.051
WT vs MT1,ENSG00000172575,RAS guanyl releasing protein 1 (calcium and DAG-regulated),RASGRP1,-0.32,0.059
WT vs MT1,ENSG00000130844,zinc finger protein 331,ZNF331,-1.2,0.063
WT vs MT1,ENSG00000166750,schlafen family member 5,SLFN5,-0.57,0.065
WT vs MT1,ENSG00000121413,zinc finger and SCAN domain containing 18,ZSCAN18,0.85,0.053
WT vs MT1,ENSG00000102710,suppressor of Ty 20 homolog (S. cerevisiae),SUPT20H,-0.41,0.059
WT vs MT1,ENSG00000146223,ribosomal protein L7-like 1,RPL7L1,0.24,0.053
WT vs MT1,ENSG00000262823,"",RP13-580F15.2,-0.34,0.059
WT vs MT1,ENSG00000225151,"",AC103965.1,0.34,0.06
WT vs MT1,ENSG00000076242,"mutL homolog 1, colon cancer, nonpolyposis type 2 (E. coli)",MLH1,0.58,0.065
WT vs MT1,ENSG00000105221,v-akt murine thymoma viral oncogene homolog 2,AKT2,0.7,0.065
WT vs MT1,ENSG00000186907,reticulon 4 receptor-like 2,RTN4RL2,0.47,0.065
WT vs MT1,ENSG00000165388,zinc finger protein 488,ZNF488,-0.24,0.058
WT vs MT1,ENSG00000143158,mitochondrial pyruvate carrier 2,MPC2,-0.21,0.055
WT vs MT1,ENSG00000189159,hematological and neurological expressed 1,HN1,-0.66,0.065
WT vs MT1,ENSG00000127578,"WAP, follistatin/kazal, immunoglobulin, kunitz and netrin domain containing 1",WFIKKN1,0.27,0.053
WT vs MT1,ENSG00000082126,"membrane protein, palmitoylated 4 (MAGUK p55 subfamily member 4)",MPP4,-1.1,0.065
WT vs MT1,ENSG00000166889,protein associated with topoisomerase II homolog 1 (yeast),PATL1,0.53,0.065
WT vs MT1,ENSG00000170835,carboxyl ester lipase,CEL,0.26,0.059
WT vs MT1,ENSG00000213398,lecithin-cholesterol acyltransferase,LCAT,0.33,0.059
WT vs MT1,ENSG00000126012,lysine (K)-specific demethylase 5C,KDM5C,0.47,0.066
WT vs MT1,ENSG00000143258,ubiquitin specific peptidase 21,USP21,0.42,0.065
WT vs MT1,ENSG00000167384,zinc finger protein 180,ZNF180,-0.46,0.066
WT vs MT1,ENSG00000141076,"cirrhosis, autosomal recessive 1A (cirhin)",CIRH1A,0.22,0.06
WT vs MT1,ENSG00000133121,StAR-related lipid transfer (START) domain containing 13,STARD13,-0.29,0.058
WT vs MT1,ENSG00000011132,"amyloid beta (A4) precursor protein-binding, family A, member 3",APBA3,-0.88,0.066
WT vs MT1,ENSG00000207047,"small nucleolar RNA, C/D box 51",SNORD51,0.3,0.063
WT vs MT1,ENSG00000112667,2'-deoxynucleoside 5'-phosphate N-hydrolase 1,DNPH1,0.73,0.067
WT vs MT1,ENSG00000118680,"myosin, light chain 12B, regulatory",MYL12B,0.33,0.065
WT vs MT1,ENSG00000139718,SET domain containing 1B,SETD1B,-0.38,0.066
WT vs MT1,ENSG00000089123,"taspase, threonine aspartase, 1",TASP1,0.25,0.058
WT vs MT1,ENSG00000119535,colony stimulating factor 3 receptor (granulocyte),CSF3R,0.69,0.07
WT vs MT1,ENSG00000183208,GDP-D-glucose phosphorylase 1,GDPGP1,0.22,0.058
WT vs MT1,ENSG00000158555,glycerophosphodiester phosphodiesterase domain containing 5,GDPD5,-0.38,0.065
WT vs MT1,ENSG00000214300,speedy/RINGO cell cycle regulator family member E3,SPDYE3,0.31,0.063
WT vs MT1,ENSG00000084754,"hydroxyacyl-CoA dehydrogenase/3-ketoacyl-CoA thiolase/enoyl-CoA hydratase (trifunctional protein), alpha subunit",HADHA,0.46,0.063
WT vs MT1,ENSG00000105519,calcyphosine,CAPS,0.58,0.066
WT vs MT1,ENSG00000165702,growth factor independent 1B transcription repressor,GFI1B,-0.24,0.058
WT vs MT1,ENSG00000198833,"ubiquitin-conjugating enzyme E2, J1",UBE2J1,0.33,0.065
WT vs MT1,ENSG00000065883,cyclin-dependent kinase 13,CDK13,-0.42,0.059
WT vs MT1,ENSG00000167925,GH3 domain containing,GHDC,0.47,0.058
WT vs MT1,ENSG00000184990,"SIVA1, apoptosis-inducing factor",SIVA1,0.22,0.06
WT vs MT1,ENSG00000087269,NOP14 nucleolar protein,NOP14,-0.4,0.059
WT vs MT1,ENSG00000169609,chromosome 15 open reading frame 40,C15orf40,0.27,0.062
WT vs MT1,ENSG00000164930,frizzled family receptor 6,FZD6,-0.19,0.06
WT vs MT1,ENSG00000072786,serine/threonine kinase 10,STK10,0.3,0.063
WT vs MT1,ENSG00000226372,DDB1 and CUL4 associated factor 8-like 1,DCAF8L1,0.22,0.06
WT vs MT1,ENSG00000159086,PAX3 and PAX7 binding protein 1,PAXBP1,0.8,0.072
WT vs MT1,ENSG00000066279,"asp (abnormal spindle) homolog, microcephaly associated (Drosophila)",ASPM,-0.54,0.073
WT vs MT1,ENSG00000204209,death-domain associated protein,DAXX,-0.38,0.059
WT vs MT1,ENSG00000147133,"TAF1 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 250kDa",TAF1,-0.25,0.061
WT vs MT1,ENSG00000186141,polymerase (RNA) III (DNA directed) polypeptide C (62kD),POLR3C,0.2,0.063
WT vs MT1,ENSG00000127586,"CTF18, chromosome transmission fidelity factor 18 homolog (S. cerevisiae)",CHTF18,0.41,0.072
WT vs MT1,ENSG00000116641,dedicator of cytokinesis 7,DOCK7,0.59,0.072
WT vs MT1,ENSG00000153214,transmembrane protein 87B,TMEM87B,-1,0.073
WT vs MT1,ENSG00000253797,"UTP14, U3 small nucleolar ribonucleoprotein, homolog C (yeast)",UTP14C,-0.6,0.063
WT vs MT1,ENSG00000109046,WD repeat and SOCS box containing 1,WSB1,-0.3,0.059
WT vs MT1,ENSG00000115524,"splicing factor 3b, subunit 1, 155kDa",SF3B1,1.4,0.06
WT vs MT1,ENSG00000116793,putative homeodomain transcription factor 1,PHTF1,0.4,0.071
WT vs MT1,ENSG00000134072,calcium/calmodulin-dependent protein kinase I,CAMK1,0.63,0.075
WT vs MT1,ENSG00000163686,abhydrolase domain containing 6,ABHD6,-0.2,0.058
WT vs MT1,ENSG00000129824,"ribosomal protein S4, Y-linked 1",RPS4Y1,1.1,0.07
WT vs MT1,ENSG00000096872,intraflagellar transport 74 homolog (Chlamydomonas),IFT74,0.73,0.071
WT vs MT1,ENSG00000164438,T-cell leukemia homeobox 3,TLX3,-0.57,0.077
WT vs MT1,ENSG00000102858,"mahogunin ring finger 1, E3 ubiquitin protein ligase",MGRN1,-0.22,0.06
WT vs MT1,ENSG00000267575,"",CTC-459F4.3,0.32,0.061
WT vs MT1,ENSG00000204536,coiled-coil alpha-helical rod protein 1,CCHCR1,-0.21,0.063
WT vs MT1,ENSG00000142632,Rho guanine nucleotide exchange factor (GEF) 19,ARHGEF19,-0.19,0.062
WT vs MT1,ENSG00000123124,WW domain containing E3 ubiquitin protein ligase 1,WWP1,0.29,0.064
WT vs MT1,ENSG00000112378,"PERP, TP53 apoptosis effector",PERP,0.26,0.066
WT vs MT1,ENSG00000099204,actin binding LIM protein 1,ABLIM1,0.18,0.063
WT vs MT1,ENSG00000159184,homeobox B13,HOXB13,-0.22,0.063
WT vs MT1,ENSG00000113569,nucleoporin 155kDa,NUP155,0.22,0.064
WT vs MT1,ENSG00000133985,tetratricopeptide repeat domain 9,TTC9,0.3,0.068
WT vs MT1,ENSG00000173715,chromosome 11 open reading frame 80,C11orf80,0.28,0.064
WT vs MT1,ENSG00000203760,centromere protein W,CENPW,0.4,0.071
WT vs MT1,ENSG00000158882,translocase of outer mitochondrial membrane 40 homolog (yeast)-like,TOMM40L,0.99,0.065
WT vs MT1,ENSG00000166349,recombination activating gene 1,RAG1,0.81,0.079
WT vs MT1,ENSG00000261613,"",RP11-20I23.13,0.27,0.068
WT vs MT1,ENSG00000217128,folliculin interacting protein 1,FNIP1,0.7,0.079
WT vs MT1,ENSG00000134874,DAZ interacting zinc finger protein 1,DZIP1,0.23,0.066
WT vs MT1,ENSG00000031691,centromere protein Q,CENPQ,0.43,0.08
WT vs MT1,ENSG00000198131,zinc finger protein 544,ZNF544,0.25,0.063
WT vs MT1,ENSG00000102158,magnesium transporter 1,MAGT1,0.47,0.066
WT vs MT1,ENSG00000111752,polyhomeotic homolog 1 (Drosophila),PHC1,0.21,0.066
WT vs MT1,ENSG00000102226,ubiquitin specific peptidase 11,USP11,0.43,0.07
WT vs MT1,ENSG00000229180,"",GS1-124K5.11,0.29,0.065
WT vs MT1,ENSG00000173264,G protein-coupled receptor 137,GPR137,0.67,0.079
WT vs MT1,ENSG00000154917,"RAB6B, member RAS oncogene family",RAB6B,-0.67,0.082
WT vs MT1,ENSG00000198730,"CTR9, Paf1/RNA polymerase II complex component",CTR9,0.6,0.073
WT vs MT1,ENSG00000257524,"",RP11-203J24.9,-0.22,0.061
WT vs MT1,ENSG00000135090,TAO kinase 3,TAOK3,-0.21,0.064
WT vs MT1,ENSG00000196132,myelin transcription factor 1,MYT1,-0.2,0.063
WT vs MT1,ENSG00000141294,leucine rich repeat containing 46,LRRC46,-0.36,0.06
WT vs MT1,ENSG00000188641,dihydropyrimidine dehydrogenase,DPYD,1.3,0.068
WT vs MT1,ENSG00000198753,plexin B3,PLXNB3,-0.32,0.073
WT vs MT1,ENSG00000165716,"family with sequence similarity 69, member B",FAM69B,-0.41,0.071
WT vs MT1,ENSG00000204130,RUN and FYVE domain containing 2,RUFY2,-0.36,0.077
WT vs MT1,ENSG00000171813,PWWP domain containing 2B,PWWP2B,-0.66,0.076
WT vs MT1,ENSG00000115750,"TATA box binding protein (TBP)-associated factor, RNA polymerase I, B, 63kDa",TAF1B,-0.19,0.064
WT vs MT1,ENSG00000129460,"neuroguidin, EIF4E binding protein",NGDN,-0.2,0.064
WT vs MT1,ENSG00000137038,chromosome 9 open reading frame 123,C9orf123,-0.31,0.068
WT vs MT1,ENSG00000174780,signal recognition particle 72kDa,SRP72,0.84,0.078
WT vs MT1,ENSG00000116574,ras homolog family member U,RHOU,-0.43,0.069
WT vs MT1,ENSG00000162783,immediate early response 5,IER5,-0.27,0.072
WT vs MT1,ENSG00000260065,"",CTA-445C9.15,0.26,0.068
WT vs MT1,ENSG00000120057,secreted frizzled-related protein 5,SFRP5,-0.52,0.086
WT vs MT1,ENSG00000255471,"",RP11-736K20.5,-0.26,0.07
WT vs MT1,ENSG00000102287,"gamma-aminobutyric acid (GABA) A receptor, epsilon",GABRE,1,0.086
WT vs MT1,ENSG00000168795,zinc finger and BTB domain containing 5,ZBTB5,-0.42,0.08
WT vs MT1,ENSG00000021762,oxysterol binding protein-like 5,OSBPL5,1.3,0.066
WT vs MT1,ENSG00000146411,"solute carrier family 2 (facilitated glucose transporter), member 12",SLC2A12,-0.28,0.076
WT vs MT1,ENSG00000215458,"",AP001053.11,-0.25,0.068
WT vs MT1,ENSG00000077782,fibroblast growth factor receptor 1,FGFR1,-0.56,0.082
WT vs MT1,ENSG00000054793,"ATPase, class II, type 9A",ATP9A,0.63,0.076
WT vs MT1,ENSG00000257499,"",RP11-571M6.8,-0.36,0.064
WT vs MT1,ENSG00000167106,"family with sequence similarity 102, member A",FAM102A,0.67,0.088
WT vs MT1,ENSG00000266402,"small nucleolar RNA, H/ACA box 76",SNORA76,0.76,0.084
WT vs MT1,ENSG00000108474,"phosphatidylinositol glycan anchor biosynthesis, class L",PIGL,0.26,0.068
WT vs MT1,ENSG00000175137,SH3-binding domain protein 5-like,SH3BP5L,0.93,0.088
WT vs MT1,ENSG00000253276,coiled-coil domain containing 71-like,CCDC71L,0.8,0.089
WT vs MT1,ENSG00000120833,suppressor of cytokine signaling 2,SOCS2,0.33,0.079
WT vs MT1,ENSG00000175322,zinc finger protein 519,ZNF519,-0.36,0.073
WT vs MT1,ENSG00000089199,chromogranin B (secretogranin 1),CHGB,0.82,0.086
WT vs MT1,ENSG00000262468,"",RP11-95P2.1,-0.33,0.076
WT vs MT1,ENSG00000254415,sialic acid binding Ig-like lectin 14,SIGLEC14,0.61,0.088
WT vs MT1,ENSG00000106028,"single-stranded DNA binding protein 1, mitochondrial",SSBP1,0.64,0.091
WT vs MT1,ENSG00000035499,DEP domain containing 1B,DEPDC1B,-1,0.089
WT vs MT1,ENSG00000132535,"discs, large homolog 4 (Drosophila)",DLG4,-0.28,0.07
WT vs MT1,ENSG00000164284,"GrpE-like 2, mitochondrial (E. coli)",GRPEL2,0.47,0.088
WT vs MT1,ENSG00000239332,Protein LOC100134259,AC016722.2,0.33,0.077
WT vs MT1,ENSG00000210196,mitochondrially encoded tRNA proline,MT-TP,-0.38,0.081
WT vs MT1,ENSG00000067992,"pyruvate dehydrogenase kinase, isozyme 3",PDK3,0.49,0.091
WT vs MT1,ENSG00000179021,chromosome 3 open reading frame 38,C3orf38,0.33,0.065
WT vs MT1,ENSG00000002822,MAD1 mitotic arrest deficient-like 1 (yeast),MAD1L1,-0.19,0.067
WT vs MT1,ENSG00000196411,EPH receptor B4,EPHB4,0.29,0.068
WT vs MT1,ENSG00000181830,"solute carrier family 35 (GDP-fucose transporter), member C1",SLC35C1,1.1,0.073
WT vs MT1,ENSG00000111676,atrophin 1,ATN1,-0.31,0.08
WT vs MT1,ENSG00000222041,long intergenic non-protein coding RNA 152,LINC00152,0.36,0.078
WT vs MT1,ENSG00000089234,BRCA1 associated protein,BRAP,-0.29,0.072
WT vs MT1,ENSG00000255112,charged multivesicular body protein 1B,CHMP1B,0.23,0.068
WT vs MT1,ENSG00000170325,PR domain containing 10,PRDM10,-0.35,0.071
WT vs MT1,ENSG00000114200,butyrylcholinesterase,BCHE,0.54,0.093
WT vs MT1,ENSG00000140332,"transducin-like enhancer of split 3 (E(sp1) homolog, Drosophila)",TLE3,-0.6,0.088
WT vs MT1,ENSG00000197989,small nucleolar RNA host gene 12 (non-protein coding),SNHG12,-0.94,0.082
WT vs MT1,ENSG00000187624,chromosome 17 open reading frame 97,C17orf97,0.45,0.092
WT vs MT1,ENSG00000156110,adenosine kinase,ADK,0.19,0.071
WT vs MT1,ENSG00000225434,"",RP11-63P12.6,0.18,0.069
WT vs MT1,ENSG00000217648,"",RP1-95L4.4,0.25,0.073
WT vs MT1,ENSG00000134590,"family with sequence similarity 127, member A",FAM127A,-0.31,0.079
WT vs MT1,ENSG00000182154,mitochondrial ribosomal protein L41,MRPL41,0.48,0.088
WT vs MT1,ENSG00000148832,polyamine oxidase (exo-N4-amino),PAOX,1.1,0.081
WT vs MT1,ENSG00000181450,zinc finger protein 678,ZNF678,-0.25,0.076
WT vs MT1,ENSG00000156671,sterile alpha motif domain containing 8,SAMD8,0.8,0.094
WT vs MT1,ENSG00000249898,"",CTD-2541M15.1,-0.24,0.082
WT vs MT1,ENSG00000108830,Rho family GTPase 2,RND2,0.46,0.088
WT vs MT1,ENSG00000246898,long intergenic non-protein coding RNA 920,LINC00920,0.5,0.079
WT vs MT1,ENSG00000169228,"RAB24, member RAS oncogene family",RAB24,-0.64,0.097
WT vs MT1,ENSG00000082516,gem (nuclear organelle) associated protein 5,GEMIN5,0.57,0.096
WT vs MT1,ENSG00000176533,"guanine nucleotide binding protein (G protein), gamma 7",GNG7,0.61,0.096
WT vs MT1,ENSG00000166965,RCC1 domain containing 1,RCCD1,0.26,0.077
WT vs MT1,ENSG00000174718,KIAA1551,KIAA1551,-0.4,0.087
WT vs MT1,ENSG00000254206,"nuclear pore complex interacting protein family, member B11",NPIPB11,0.24,0.077
WT vs MT1,ENSG00000268047,"",AC018766.6,0.21,0.076
WT vs MT1,ENSG00000198804,mitochondrially encoded cytochrome c oxidase I,MT-CO1,0.61,0.098
WT vs MT1,ENSG00000151465,cell division cycle 123,CDC123,0.87,0.088
WT vs MT1,ENSG00000176974,serine hydroxymethyltransferase 1 (soluble),SHMT1,0.37,0.088
WT vs MT1,ENSG00000165480,spindle and kinetochore associated complex subunit 3,SKA3,-0.32,0.077
WT vs MT1,ENSG00000137714,ferredoxin 1,FDX1,0.8,0.099
WT vs MT1,ENSG00000147138,G protein-coupled receptor 174,GPR174,-0.63,0.097
WT vs MT1,ENSG00000185033,"sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4B",SEMA4B,0.21,0.077
WT vs MT1,ENSG00000111348,Rho GDP dissociation inhibitor (GDI) beta,ARHGDIB,-0.17,0.072
WT vs MT1,ENSG00000090104,regulator of G-protein signaling 1,RGS1,1.1,0.086
WT vs MT1,ENSG00000109062,"solute carrier family 9, subfamily A (NHE3, cation proton antiporter 3), member 3 regulator 1",SLC9A3R1,0.41,0.079
WT vs MT1,ENSG00000182963,"gap junction protein, gamma 1, 45kDa",GJC1,0.75,0.1
WT vs MT1,ENSG00000187257,round spermatid basic protein 1-like,RSBN1L,-0.23,0.074
WT vs MT1,ENSG00000184304,protein kinase D1,PRKD1,0.44,0.096
WT vs MT1,ENSG00000225721,"",RP11-269F19.2,0.26,0.086
WT vs MT1,ENSG00000104938,"C-type lectin domain family 4, member M",CLEC4M,-0.34,0.083
WT vs MT1,ENSG00000156650,K(lysine) acetyltransferase 6B,KAT6B,0.27,0.079
WT vs MT1,ENSG00000232063,"",RP11-307E17.8,0.21,0.079
WT vs MT1,ENSG00000172752,"collagen, type VI, alpha 5",COL6A5,0.62,0.088
WT vs MT1,ENSG00000152133,G patch domain containing 11,GPATCH11,0.29,0.077
WT vs MT1,ENSG00000196652,zinc finger with KRAB and SCAN domains 5,ZKSCAN5,-0.29,0.088
WT vs MT1,ENSG00000112335,sorting nexin 3,SNX3,0.48,0.098
WT vs MT1,ENSG00000103187,coactosin-like 1 (Dictyostelium),COTL1,1.2,0.1
WT vs MT1,ENSG00000145216,factor interacting with PAPOLA and CPSF1,FIP1L1,0.32,0.095
WT vs MT1,ENSG00000180992,mitochondrial ribosomal protein L14,MRPL14,-0.42,0.098
WT vs MT1,ENSG00000143499,SET and MYND domain containing 2,SMYD2,-0.36,0.092
WT vs MT1,ENSG00000026103,Fas cell surface death receptor,FAS,0.25,0.089
WT vs MT1,ENSG00000124783,"signal sequence receptor, alpha",SSR1,0.31,0.084
WT vs MT1,ENSG00000108406,DEAH (Asp-Glu-Ala-His) box polypeptide 40,DHX40,-1.1,0.1
WT vs MT1,ENSG00000173064,HECT domain containing E3 ubiquitin protein ligase 4,HECTD4,-0.97,0.11
WT vs MT1,ENSG00000089048,"ESF1, nucleolar pre-rRNA processing protein, homolog (S. cerevisiae)",ESF1,-0.37,0.099
WT vs MT1,ENSG00000181045,"solute carrier family 26, member 11",SLC26A11,-0.17,0.081
WT vs MT1,ENSG00000153721,CNKSR family member 3,CNKSR3,-0.26,0.086
WT vs MT1,ENSG00000125878,transcription factor 15 (basic helix-loop-helix),TCF15,0.19,0.077
WT vs MT1,ENSG00000100567,"proteasome (prosome, macropain) subunit, alpha type, 3",PSMA3,1.1,0.11
WT vs MT1,ENSG00000104055,transglutaminase 5,TGM5,0.98,0.11
WT vs MT1,ENSG00000006062,mitogen-activated protein kinase kinase kinase 14,MAP3K14,-0.23,0.082
WT vs MT1,ENSG00000153046,"chromodomain protein, Y-like",CDYL,-0.32,0.094
WT vs MT1,ENSG00000183530,proline rich 14-like,PRR14L,-0.4,0.11
WT vs MT1,ENSG00000162302,"ribosomal protein S6 kinase, 90kDa, polypeptide 4",RPS6KA4,1,0.11
WT vs MT1,ENSG00000254837,"",AP001372.2,-0.28,0.086
WT vs MT1,ENSG00000144045,DEAQ box RNA-dependent ATPase 1,DQX1,0.59,0.11
WT vs MT1,ENSG00000235016,"",RP11-493K19.3,-0.41,0.1
WT vs MT1,ENSG00000162367,T-cell acute lymphocytic leukemia 1,TAL1,0.25,0.093
WT vs MT1,ENSG00000125885,minichromosome maintenance complex component 8,MCM8,-0.22,0.088
WT vs MT1,ENSG00000178177,ligand dependent nuclear receptor corepressor-like,LCORL,-0.47,0.11
WT vs MT1,ENSG00000163629,"protein tyrosine phosphatase, non-receptor type 13 (APO-1/CD95 (Fas)-associated phosphatase)",PTPN13,-0.28,0.086
WT vs MT1,ENSG00000214194,Putative transmembrane protein LOC401397,AC073346.2,0.43,0.099
WT vs MT1,ENSG00000101336,hemopoietic cell kinase,HCK,0.96,0.11
WT vs MT1,ENSG00000111665,cell division cycle associated 3,CDCA3,0.21,0.083
WT vs MT1,ENSG00000139899,cerebellin 3 precursor,CBLN3,0.22,0.079
WT vs MT1,ENSG00000095787,WW domain containing adaptor with coiled-coil,WAC,0.62,0.11
WT vs MT1,ENSG00000175213,zinc finger protein 408,ZNF408,0.37,0.1
WT vs MT1,ENSG00000125817,"centromere protein B, 80kDa",CENPB,0.52,0.1
WT vs MT1,ENSG00000204764,RAN binding protein 17,RANBP17,0.58,0.086
WT vs MT1,ENSG00000127419,transmembrane protein 175,TMEM175,0.53,0.11
WT vs MT1,ENSG00000229140,coiled-coil domain containing 26,CCDC26,0.24,0.086
WT vs MT1,ENSG00000109265,KIAA1211,KIAA1211,-0.2,0.088
WT vs MT1,ENSG00000137941,"tubulin tyrosine ligase-like family, member 7",TTLL7,0.18,0.079
WT vs MT1,ENSG00000162604,TM2 domain containing 1,TM2D1,-0.67,0.1
WT vs MT1,ENSG00000057663,autophagy related 5,ATG5,-1.2,0.096
WT vs MT1,ENSG00000157240,frizzled family receptor 1,FZD1,0.24,0.093
WT vs MT1,ENSG00000262772,"",RP11-353N14.2,0.5,0.1
WT vs MT1,ENSG00000116685,KIAA2013,KIAA2013,0.32,0.11
WT vs MT1,ENSG00000115306,"spectrin, beta, non-erythrocytic 1",SPTBN1,0.45,0.11
WT vs MT1,ENSG00000166501,"protein kinase C, beta",PRKCB,1.9,0.076
WT vs MT1,ENSG00000181704,"Yip1 domain family, member 6",YIPF6,-0.52,0.096
WT vs MT1,ENSG00000204839,maestro heat-like repeat family member 6,MROH6,-0.38,0.1
WT vs MT1,ENSG00000154874,coiled-coil domain containing 144B (pseudogene),CCDC144B,0.39,0.091
WT vs MT1,ENSG00000183955,SET domain containing (lysine methyltransferase) 8,SETD8,-0.24,0.082
WT vs MT1,ENSG00000143545,"RAB13, member RAS oncogene family",RAB13,0.56,0.11
WT vs MT1,ENSG00000071894,"cleavage and polyadenylation specific factor 1, 160kDa",CPSF1,1.2,0.096
WT vs MT1,ENSG00000204790,COBW domain containing 6,CBWD6,0.28,0.085
WT vs MT1,ENSG00000129195,"family with sequence similarity 64, member A",FAM64A,0.93,0.11
WT vs MT1,ENSG00000174953,DEAH (Asp-Glu-Ala-His) box polypeptide 36,DHX36,0.66,0.12
WT vs MT1,ENSG00000076924,XPA binding protein 2,XAB2,0.33,0.093
WT vs MT1,ENSG00000147155,emopamil binding protein (sterol isomerase),EBP,0.31,0.093
WT vs MT1,ENSG00000255237,"",RP13-317D12.3,-0.28,0.088
WT vs MT1,ENSG00000039123,superkiller viralicidic activity 2-like 2 (S. cerevisiae),SKIV2L2,-0.31,0.087
WT vs MT1,ENSG00000114062,ubiquitin protein ligase E3A,UBE3A,0.46,0.11
WT vs MT1,ENSG00000260766,"",RP11-226L15.5,0.23,0.096
WT vs MT1,ENSG00000145604,"S-phase kinase-associated protein 2, E3 ubiquitin protein ligase",SKP2,-0.33,0.081
WT vs MT1,ENSG00000173726,translocase of outer mitochondrial membrane 20 homolog (yeast),TOMM20,0.41,0.11
WT vs MT1,ENSG00000172113,NME/NM23 nucleoside diphosphate kinase 6,NME6,0.44,0.11
WT vs MT1,ENSG00000156218,ADAMTS-like 3,ADAMTSL3,0.59,0.12
WT vs MT1,ENSG00000198718,"family with sequence similarity 179, member B",FAM179B,-1.3,0.12
WT vs MT1,ENSG00000167642,"serine peptidase inhibitor, Kunitz type, 2",SPINT2,-1.3,0.12
WT vs MT1,ENSG00000136848,DAB2 interacting protein,DAB2IP,0.61,0.12
